Artist;Titel;Anm;LP-nr;Pris
All that jazz;All that jazz;VG/VG;LP 0006;50
Aretha Franklin;Who´s zoomin who?;VG/VG;LP 0007;120
Beatles ;Beatles Greatest;G;LP 0016;120
Beatles ;Rock n’ Roll Music,Vol 2;G/poor, Hack på sid 2;LP 0017;50
Beatles;Sgt Peppers;G-VG/VG (Canada print);LP 0019;900
Bee Gees;Spirits having flown;VG;LP 0022;90
Bee Gees m.fl.;Saturday night fever;VG/G;LP 0023;90
Belinda Carlisle;Runaway Horses;NM/Mint;LP 0024;90
Bette Midler;The Rose;VG;LP 0025;90
Blacksmith;Blacksmith;VG/VG OBS EP 45 RPM;LP 0027;290
Bobby Vee;20 Rock ´n Roll Hits;VG(Scandinavian release 1979);LP 0031;90
Bruce Hornsby & the R;Scenes from the souths.;NM;LP 0036;90
Bruce Hornsby & the R;The way it is;NM;LP 0037;90
Buddy Holly;The Collection ;NM/Mint OBS 1987 utg. ;LP 0039;190
Buddy Holly;The Hit singles collection;NM-Mint (Release 1985);LP 0040;190
Chicago;19;VG ;LP 0043;120
Chris De Burg;Flying colours;NM;LP 0044;50
Chuck Berry;Hail Hail Rock ´n Roll;NM (Gatefolded) 1988;LP 0046;290
Church;Gold Afternoon fix;VG;LP 0047;90
Clash ;The Story of The Clash Vol 1;VG-NM/NM;LP 0049;390
Cliff Richard;It´ll be me;VG/VG-NM;LP 0051;90
CRETU;The invisible man;VG;LP 0052;120
Culture Club;Colour by numbers;G/VG;LP 0053;90
Dave Clarke Five;Having a wild after..;Poor;LP 0054;50
David Bowie;Lets Dance;VG/VG-NM (German print);LP 0057;180
David Lee Roth;Skyscraper;VG (Etikett på baksida);LP 0058;50
Deep Purple;As &Bs;VG/VG-NM;LP 0059;290
Diana Ross;Eaten Alive;VG;LP 0061;90
Donna Summer;She works hard for the ;VG;LP 0064;120
Duran Duran;Arena;VG/NM;LP 0066;90
Duran Duran;Notorious;OBS SINGEL VG/NM;LP 0067;50
Eagles;On the Boarder;G/VG;LP 0069;90
Earth Wind & Fire;Earth Wind & Fire;Mint;LP 0071;150
Electric Light Orchestra;Olé ELO;VG;LP 0073;90
Electric Light Orchestra;Power of Balance;VG/NM;LP 0075;90
Elton John ;A single man;VG/NM;LP 0077;90
